,county_name,Shape_Leng,SHAPE_Area,physically_unhealthy_days,mentally_unhealthy_days,air_quality_score_rating,food_environment_index,percent_poor_health,life_expectancy,percent_physical_distress,percent_mental_distress,allowable_count
34,FRANKLIN,565862.937725,13794802003.0,4.2082921744,4.2767347245,10.6,7.7,20.013418143,77.555191738,13.12708344,13.278998272,0
35,GASTON,496971.956611,10136165636.0,4.086465642,4.2624994688,10.9,6.9,18.091471904000002,75.656594561,12.532847112999999,13.093077125999999,0
36,GATES,442295.032148,9637456883.36,3.8482573948,3.9311520213,8.8,7.9,16.678135604,75.530236171,11.811246277999999,12.237399915,4169
37,GRAHAM,473181.756187,8403235385.1,4.4369355787,4.4397865082,8.4,7.9,18.241607088,77.77016171,13.848878312,14.253374158,0
38,GRANVILLE,571200.735994,14951367501.1,3.9061790168,3.9512149571,10.5,7.6,17.054864308,78.155082387,12.13700357,12.33687524,0
39,GREENE,403326.740828,7424962183.23,4.4937346232,4.2342770648000005,10.4,,22.487932531,77.133117285,14.428083719000002,13.833691072,21342
40,GUILFORD,545220.367738,18337394618.9,3.7802848457,3.8833376619999997,10.5,6.8,16.261303671,78.254502048,11.835899326,12.494834470999999,0
41,HALIFAX,887773.519197,20386459635.5,4.7920082719,4.6707571242000006,9.8,5.4,24.193462632,74.89999629,15.39056261,15.069834689,0
42,HARNETT,587683.883751,16760093161.9,4.2177553169,4.1774614142,10.9,7.5,18.68184096,76.916416607,13.105016837,13.074748052999999,0
43,HAYWOOD,663494.060185,15457913296.5,4.2715222129,4.374666082,8.7,7.6,15.335968639,77.152160966,12.564829172,13.287080557000001,0
44,HENDERSON,589528.666992,10456788029.6,3.7077369372000004,3.8162357035000003,9.2,8.1,14.896301619,79.59819798,11.121400330999998,11.892142208,0
45,HERTFORD,585730.729172,10075744740.6,4.6168182857,4.3190879158,9.1,6.1,23.50295857,76.935673998,14.690702267,14.101998483,12217
46,HOKE,516861.987445,10937490488.0,4.571505757200001,4.3477730399,10.4,6.6,22.320161836,76.515681707,14.579446295999999,14.068397160999998,0
47,HYDE,1013827.50335,38421675742.4,4.0954435639,3.9994542855,7.8,4.2,18.729128827,77.237907396,12.669690525,12.52668009,0
48,IREDELL,638664.962936,16635303647.9,3.8937588455000003,4.063579624,10.9,8.0,16.003703563,77.565840537,11.791999149,12.140656809000001,1069
49,JACKSON,644205.828107,13795902926.8,4.279346987099999,4.4044633531,8.4,6.9,17.154375979,77.705274296,13.423622345999998,13.736873994000002,0
50,JOHNSTON,662970.49749,22182934718.9,3.8821100249000002,4.0202548461,10.4,8.3,16.704347488,78.085278532,11.908046723,12.503853845999998,0
51,JONES,699802.184126,13231592702.4,4.4699620376,4.4330986551,9.5,7.2,20.750697096,76.951901997,14.162140374000002,14.290934152,30198
52,LEE,414475.335833,7227233078.54,4.0560002845,4.045640839,10.5,7.8,18.79597613,76.27154433,12.648413764,12.878449881,0
53,LENOIR,549317.74939,11206492142.2,4.5194797858,4.4982958932,10.3,6.5,21.574270165999998,75.13132968,14.266280935,14.436683416,600
54,LINCOLN,455807.279973,8561765841.58,3.8317499352999995,4.1039071681,10.8,8.1,15.863118678,77.313440622,11.724766810999999,12.548224942000001,0
55,MACON,651411.315584,14486877792.6,4.1869712754,4.254176505299999,8.6,8.0,16.198657248,77.446104202,12.817960274,13.238765795,0
56,MADISON,655242.018173,12594439879.3,4.0440650891,4.2244350944999995,8.8,7.7,15.711321274000001,77.376603195,12.466821962000001,13.211704835,0
57,MARTIN,736005.281077,12892526099.5,4.47792317,4.4862055779,8.9,7.0,21.712093396999997,75.084339935,14.27603764,14.428715777999999,0
58,MCDOWELL,585767.424022,12491074436.2,4.1897281913999995,4.4950636853,9.2,8.0,17.239174778,76.60302588399999,12.950226332,13.736653489000002,0
59,MECKLENBURG,632756.423077,15217170486.4,3.5280945631,3.7573152060000004,11.3,7.4,15.35144379,80.358177488,11.304559399,11.88356949,0
60,MITCHELL,549915.023287,6178348983.23,4.0068555682,4.1346984572,8.5,,15.947190595999999,76.315052443,12.240295265999999,12.893023705,0
61,MONTGOMERY,593537.86332,13976656836.2,4.3582390151,4.2708547029,9.7,7.9,19.899421093,77.53318707,13.685716812999999,13.692964681,0
62,MOORE,738606.285338,19660675261.7,3.7466326082999997,3.9907644559,10.4,8.0,15.077361990999998,79.357025706,11.493134805,12.299816387,0
63,NASH,617249.906029,15130089355.8,4.2129232738999995,4.1377069969999996,10.5,6.8,19.674727936,75.14690141199999,13.039605515999998,13.065973554000001,0
64,NEW HANOVER,515731.563093,6121666285.42,3.9357727244,4.2683146795999996,8.4,7.2,15.825482193,79.237937752,12.168624726,13.170120954000001,0
65,NORTHAMPTON,767455.019743,15330134174.1,4.6825244599,4.455588585,9.6,5.8,23.455464518000003,76.37254846399999,14.860908542999999,14.490212525,7272
66,ONSLOW,685229.69266,22845556882.3,4.0676679281,4.1401958215,9.5,7.1,18.047138427,76.71873399399999,12.435918538,12.695751477,0
67,ORANGE,433647.028113,11193552383.0,3.6831402616,3.7300769556,10.7,7.5,14.291492143,82.08650346399999,11.252064064,11.656032773,0
68,PAMLICO,592438.54375,15657771571.0,4.0855335459,4.125336658,8.6,7.8,17.511145131,78.077503006,12.593127015,12.843313499999999,0
69,PASQUOTANK,531720.831869,8062185261.48,4.0842789887,4.1860348439,8.5,6.1,18.892109396,76.193947041,12.851215452,13.142134157000001,0
70,PENDER,816776.620168,24543807558.4,3.9917432095,4.1983579761000005,9.4,7.9,16.822267046,76.816486775,12.186455455,12.594159176,4640
71,PERQUIMANS,439030.094037,9170804418.9,4.1862663229,4.2757474401,8.5,7.5,17.82130568,78.072116671,13.112819387,13.680488814,0
72,PERSON,424616.349338,11264013569.2,4.2371400492,4.3068208053,10.1,7.3,18.749314576,76.046899845,13.029086950999998,13.381228668,0
73,PITT,729467.207845,18254584818.7,4.2968821320999995,4.1449189414,9.8,6.7,18.371780019000003,78.476446162,13.429209896,13.601058350999999,0
74,POLK,377443.378409,6652480300.79,3.7013120404000004,3.9339967714,9.5,8.6,14.56292343,79.248801999,11.241214507999999,12.060083728,0
75,RANDOLPH,593483.622166,22026881771.3,4.231205177300001,4.2101746596,10.9,7.6,18.338246263,75.934360063,13.137011810999999,13.242477295999999,0
76,RICHMOND,671340.740222,13368301395.4,4.7675965397,4.5608276825,10.2,6.5,22.152687639,73.967584844,15.286453840999998,14.911633719000001,0
77,ROBESON,796992.700312,26492819607.5,5.5942265970000005,5.2095052356,10.1,6.5,30.037626404,73.152140766,18.259433838,17.227353295,32560
78,ROCKINGHAM,513361.787377,15945261643.2,4.1978850789,4.368295370899999,10.3,6.7,17.972562268,75.657315094,13.004647923,13.570346369000001,0
79,ROWAN,566593.969329,14596182633.3,4.3617639372,4.283802553999999,10.6,7.1,18.166850161,75.22584619,13.189953673,13.153078691,0
80,RUTHERFORD,642391.580224,15759608008.4,4.4227761188,4.4874834507,10.1,6.9,18.822772262,75.734430755,13.731380764,14.074226765,0
81,SAMPSON,906201.458017,26391537290.3,4.6424569924000005,4.3700376976,10.7,7.5,22.735346871999997,75.68549757699999,14.922329324000001,14.409221698,74394
